time,signal
1766690036.55653,83
1766690036.7864816,83
1766690037.0222495,83
1766690037.2580996,83
1766690037.4874074,83
1766690037.707188,83
1766690037.921312,83
1766690038.142241,83
1766690038.3767025,83
1766690038.6070087,83
1766690038.8314538,83
1766690039.0621288,83
1766690039.276721,83
1766690039.5045671,83
1766690039.7421615,83
1766690039.960705,83
1766690040.20532,83
1766690040.4278288,83
1766690040.650302,83
1766690040.8816948,83
1766690041.2383535,83
1766690041.463823,83
1766690041.6901126,83
1766690041.9199317,83
1766690042.1423116,83
1766690042.3763368,83
1766690042.6278613,83
1766690042.8752825,83
1766690043.1089025,83
1766690043.346633,83
1766690043.569353,83
1766690043.7887404,83
1766690044.0430586,83
1766690044.262657,83
1766690044.5832803,83
1766690044.7972658,83
1766690045.0562227,83
1766690045.2819345,83
1766690045.5090547,83
1766690045.7346218,83
1766690045.9449282,83
1766690046.1617439,83
1766690046.3913653,83
1766690046.6187334,83
1766690046.8526468,83
1766690047.1026738,83
1766690047.3330035,83
1766690047.5720665,83
1766690047.787752,83
1766690048.0550082,83
1766690048.452278,83
1766690048.6611881,83
1766690048.8758197,83
1766690049.0928779,83
1766690049.31106,83
1766690049.5235195,83
1766690049.758395,83
1766690050.0119016,83
1766690050.2346883,83
1766690050.4709127,83
1766690050.7094672,83
1766690050.963251,83
1766690051.18905,83
1766690051.413154,83
1766690051.641199,83
1766690051.8763332,83
1766690052.1467633,83
1766690052.4359083,83
1766690052.6503186,83
1766690052.9046392,83
1766690053.1286802,83
1766690053.380886,83
1766690053.6227381,83
1766690053.8320606,83
1766690054.0490172,83
1766690054.266464,83
1766690054.4826374,83
1766690054.7523358,83
1766690054.97852,83
1766690055.203218,83
1766690055.4419763,83
1766690055.667416,83
1766690055.908487,83
1766690056.1408758,83
1766690056.377483,83
1766690056.6026378,83
1766690056.9509404,83
1766690057.1718156,83
1766690057.3984818,83
1766690057.62517,83
1766690057.842533,83
1766690058.0536716,83
1766690058.2659369,83
1766690058.5252466,83
1766690058.7585487,83
1766690059.0154812,83
1766690059.2446074,83
1766690059.4640498,83
1766690059.7158039,83
1766690059.9608543,83
1766690060.192798,83
1766690060.4426303,83
1766690060.66775,83
1766690060.901479,83
